anal,,,##  Base List of Bad Words (CSV File)
anus,,,==============================
arse,,,
ass,,,##  This Base List of Words is provided free by: Free Web Headers – https://www.freewebheaders.com
ass fuck,,,
ass hole,,,"##  Last Update: Jan 18, 2021"
assfucker,,,
asshole,,,##  URL: https://www.freewebheaders.com/full-list-of-bad-words-banned-by-google/
assshole,,,
bastard,,,##  Copy all the words in column 'A' at the left side
bitch,,,
black cock,,,
bloody hell,,,
boong,,,
cock,,,
cockfucker,,,
cocksuck,,,
cocksucker,,,
coon,,,
coonnass,,,
crap,,,
cunt,,,
cyberfuck,,,
damn,,,
darn,,,
dick,,,
dirty,,,
douche,,,
dummy,,,
erect,,,
erection,,,
erotic,,,
escort,,,
fag,,,
faggot,,,
fuck,,,
Fuck off,,,
fuck you,,,
fuckass,,,
fuckhole,,,
god damn,,,
gook,,,
hard core,,,
hardcore,,,
homoerotic,,,
hore,,,
lesbian,,,
lesbians,,,
mother fucker,,,
motherfuck,,,
motherfucker,,,
negro,,,
nigger,,,
orgasim,,,
orgasm,,,
penis,,,
penisfucker,,,
piss,,,
piss off,,,
porn,,,
porno,,,
pornography,,,
pussy,,,
retard,,,
sadist,,,
sex,,,
sexy,,,
shit,,,
slut,,,
son of a bitch,,,
suck,,,
tits,,,
viagra,,,
whore,,,
xxx,,,
